"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"UBE2C",1.34255876316875,7.31384465372871,3.48896352042938,0.00203311952975884,0.0218914495316467,-1.48500780944933
"SFRP4",1.75599319937215,7.1223827332038,3.45867664133883,0.00218728247890142,0.0229230820795452,-1.55349659407091
"STIL",1.20110356762031,5.85383638159955,3.45005930827786,0.00223319554919908,0.0231544140351862,-1.57295335067189
"PSAT1",1.03396238528018,5.99190191362149,3.44890281806291,0.00223942855355829,0.0231627537283294,-1.5755635216161
"TOP2A",1.90288876337065,6.47727184240419,3.42669700340789,0.00236245824084977,0.023960571266339,-1.62563384469525
"MT-ND6",1.10069290472637,6.73561783031074,3.4095594346203,0.00246189634527345,0.0244707853457278,-1.66421316685925
"ABCA12",1.34791448802107,4.19991562541141,3.38540329983615,0.00260902407466767,0.0253097267417236,-1.71849684560204
"TM4SF4",2.81377524900955,6.25804177019336,3.35949171232881,0.00277637175678729,0.0263056804588461,-1.77659785988111
"DEPTOR",1.36048194791838,8.15599332731688,3.34777930494642,0.00285540425659162,0.0268573340623441,-1.80281599938168
"XKRX",1.35007256930203,5.2635716808555,3.32626126965503,0.00300634940377361,0.0277792113982097,-1.85091038422838
"PTPRZ1",1.62628924599319,5.25575381114894,3.32218157182836,0.00303583058902653,0.0279506723641952,-1.8600179110297
"TNC",1.28931184147753,6.87157346846544,3.30769920731264,0.00314277274897502,0.0285120256441807,-1.89231990740381
"MZT2B",1.14784815389909,7.11339308149702,3.29769961423427,0.00321874097909487,0.0289065255020337,-1.91459716909951
"STK31",1.16807026934833,5.28389492692009,3.29724065238543,0.0032222702761972,0.0289066597590718,-1.91561913369303
"GABRE",1.27711620560529,6.18820234954024,3.29339401694761,0.00325199810906945,0.0291030368597833,-1.92418259084861
"ATP10B",1.05992030934145,5.28726739039295,3.28056451613901,0.00335308688349508,0.029657575300127,-1.9527205164603
"MDK",1.13980208338071,8.52464527600171,3.27653928280487,0.00338542761815626,0.029801955725077,-1.9616667752536
"KIF20A",1.56006168736535,5.84865605270097,3.27373065989113,0.00340817269100676,0.0299249551552275,-1.96790693679618
"PCP4",1.03776248048225,4.86042406753945,3.25055447669484,0.00360160869213388,0.0309723214713883,-2.01933202607673
"TOX3",1.69030541295481,6.7192339986984,3.24162211767836,0.00367896978544952,0.0313478245623627,-2.03911930664655
"HMGB3",1.45579105462832,8.24546787678831,3.23860165829778,0.00370549202871489,0.0315402180545283,-2.04580619161777
"BACE2",1.02383475043709,7.8456154427864,3.21910849465963,0.003881171037597,0.0324042684580832,-2.08891046223094
"CAPN8",1.45536413873682,7.68897689180817,3.20484217970442,0.00401483071097251,0.0332543667185246,-2.12040024820755
"KIF4A",1.22820083413457,5.65651384455614,3.18541256420392,0.00420405253105085,0.0341445806162769,-2.16320852686773
"ADGRF1",1.04846033753388,5.34524679855136,3.16919716763951,0.00436855131907445,0.0349808841343884,-2.19886471387202
"AGT",1.6030348881823,6.59905078301089,3.16799232450997,0.00438101934091301,0.0350395947051452,-2.20151146769348
"SIX1",1.06136166305355,6.73444315922067,3.16200858461386,0.00444345201122592,0.0352679232890522,-2.21465097784456
"OFD1",1.02662494999182,7.04314326132044,3.129523974948,0.00479767793729142,0.0370607429788534,-2.28582564502078
"MMP1",3.02702993581378,6.90533051714975,3.12904656747634,0.00480308180552766,0.0370821106426762,-2.28686965164919
"ANKRD22",1.39845905326614,7.94383949619944,3.1249686291189,0.00484948080354444,0.0373179484969227,-2.29578499247673
"DLGAP5",1.62051147097126,5.64882752864415,3.12286198161453,0.00487361949514676,0.0374430819095979,-2.30038893896107
"ARX",1.02395984840393,6.28107869250335,3.11405431570853,0.00497580223706328,0.0378445724213951,-2.31962505094103
"SRPX2",1.32119181475333,7.17509820596116,3.1122225971298,0.00499731112765389,0.0379309206644935,-2.32362301674647
"LGSN",1.61814773032081,4.56828560270964,3.10997829936493,0.00502378697713725,0.0380398993936619,-2.32852029211206
"DEPDC7",1.3398147093577,4.70773562847441,3.10859099575637,0.005040220515779,0.0380657539839295,-2.3315468618475
"SGPP2",1.26986087763689,7.94083453042904,3.09257226061429,0.00523376720006675,0.038918935819754,-2.36645683180197
"E2F8",1.06710919184766,4.35969343751788,3.07235594001979,0.00548827086838002,0.0398893607468515,-2.41041676310308
"TTK",1.64453372959606,4.73706853398733,3.0631528009016,0.00560803800666263,0.0405009576155131,-2.43039206259657
"ADAMTS3",1.10996531460223,5.32707343968699,3.04872170144029,0.00580091931351326,0.0413913817255459,-2.46166769058266
"ZNF750",1.49708003344363,5.05580989625689,3.03699839671483,0.00596229053685472,0.0420793794544157,-2.48703225835815
"SHCBP1",1.1632864155464,5.00555589757897,3.02276159987481,0.00616406571246063,0.0430139559962263,-2.51778299920727
"IGDCC4",1.22917072844896,4.99548068939702,3.02100063100748,0.00618947479058781,0.0431177605646565,-2.52158260102002
"HOXB7",1.06667600060403,7.59818268102471,3.007396267155,0.00638919101990869,0.0441633139495006,-2.55090647721411
"RUNX1-IT1",1.18721234356759,6.60385938537055,3.00260170644328,0.00646103975574722,0.044345439530811,-2.56122832170108
"CD207",1.17891969797713,6.51308488370303,2.98593360307273,0.00671689979472176,0.045443117947804,-2.59705969891121
"POU2AF1",1.66534993714832,8.09706662655531,2.9841330179268,0.00674511376035016,0.0455317425241051,-2.60092553375851
"KRTAP4-1",1.01757260203779,4.4347025278003,2.96611011433525,0.00703385142910878,0.0467882291786239,-2.63956750750143
"MND1",1.11781758538485,4.48196884657177,2.95662018236982,0.00719060751569898,0.0474130683066402,-2.65987531863314
"SPINK1",2.68449989766375,7.25834938844202,2.94390699262228,0.00740585456833906,0.0483649092055506,-2.68703794981531
"THBS4",1.10446840671883,6.77498365031759,2.92988813590431,0.00765035276200041,0.0495662456409821,-2.71693289137887
