"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SERINC1",-1.47758320273501,11.2112360377849,-3.60323783378389,0.00154157360704091,0.0184835307646786,-1.22521187033694
"EVI2A",-1.12151661777473,9.35763442659971,-3.59747338275802,0.00156330216275651,0.0186132084730293,-1.23836632277461
"DPH3",-1.31560747878584,8.45274228573623,-3.59627619620001,0.00156785241138618,0.0186296815364157,-1.24109767143565
"ZFP36",-1.35599520544322,11.9474613480887,-3.59607973168564,0.00156860037170829,0.0186296815364157,-1.24154587926648
"CLIC4",-1.49218420949573,9.23964491615539,-3.5949563479058,0.00157288394068497,0.0186408726603649,-1.24410861908445
"CCNDBP1",-1.07019779910754,9.70390107331437,-3.59466926890792,0.00157398044117602,0.0186408726603649,-1.24476349273881
"TNFAIP3",-1.36517181758755,9.81795736846243,-3.58650193426516,0.00160549191475967,0.0188214131960561,-1.26338926959108
"GON7",-1.07089030760156,7.79456081386181,-3.58525035915858,0.00161037518230915,0.0188555771489253,-1.26624261497407
"CD69",-1.55772763335765,9.24514623611319,-3.58215713057743,0.00162250664254128,0.0189759105445099,-1.27329353923501
"HYAL1",-1.49139751809598,7.89728236171094,-3.57991295692305,0.00163136425140931,0.0190577238205448,-1.27840814749615
"DCDC2",-1.36354953865857,5.80314140819867,-3.57107433364114,0.00166671347645713,0.0192944709969729,-1.29854433500914
"GDF10",-1.46948672490337,5.73911645396367,-3.56040001705088,0.00171040708814409,0.0196447260791499,-1.32284634718935
"SPI1",-1.11389885067359,8.04102467335137,-3.55631559526456,0.00172742150700894,0.019751472616733,-1.33214051679948
"MORF4",-1.2938672709021,10.3719510553953,-3.5526210344863,0.00174295477041717,0.0198514497975115,-1.34054526550477
"TREM1",-1.18852698526901,9.6182145865514,-3.54819897820832,0.00176172680265458,0.0200150099364131,-1.35060212233352
"NFIL3",-1.33505352169259,9.86488551401114,-3.54808695634904,0.00176220491060812,0.0200150099364131,-1.35085684716976
"ADAMTS1",-1.93835690674463,8.75880427007163,-3.53840273641404,0.00180402137199606,0.0203459222901324,-1.37286999002708
"GRN",-1.00631572411067,11.2207693206973,-3.53645090716912,0.00181256636470978,0.0203864027864603,-1.37730483816455
"FAM216B",-2.00180865314917,6.40795957033499,-3.53354993259171,0.00182533998774126,0.0204820359260418,-1.38389513670953
"SLC2A3",-1.564427303036,8.88827128706562,-3.52443663859803,0.00186604423577397,0.0207905973726651,-1.40458929545877
"HSPB6",-1.39619868971529,6.86268650954052,-3.52182979109039,0.00187785029544079,0.0208653431035759,-1.4105063099209
"TFEC",-1.40140272300144,7.01860522204311,-3.50892748634157,0.00193736860228414,0.0213183457972846,-1.43977519958681
"TMEM100",-3.14536319519161,8.92526180692152,-3.50827778556854,0.00194041402580794,0.0213384292496625,-1.44124830549845
"SOX17",-1.55653586181063,6.53557880443321,-3.50809345795171,0.00194127890080967,0.0213384292496625,-1.44166622965655
"ELAPOR2",-1.34020757651186,6.95831239273089,-3.5046731108705,0.00195739599536412,0.0214458483462699,-1.4494201029466
"TSPAN7",-1.73930857994912,8.90402424932515,-3.50418306721108,0.00195971584333801,0.0214458483462699,-1.45053086149494
"KMO",-1.16595076995268,6.77943893911192,-3.49163893290016,0.00202002396801248,0.0218410296841809,-1.47895006776008
"TMED2",-1.41306675676657,9.88539724880638,-3.49056197822014,0.00202528547196805,0.0218510900130575,-1.48138868688873
"TOX2",-1.42188245686494,7.6601893103998,-3.4884904343922,0.00203544380997331,0.0218914495316467,-1.48607885464643
"RAB11FIP1",-1.01475879819864,9.83709136489822,-3.4854441168716,0.00205047281130559,0.0220299354482895,-1.49297464701354
"ACP5",-1.30187185092588,10.7495564163248,-3.48189023090953,0.00206814313220095,0.0221268612058322,-1.50101735205483
"DEPP1",-1.5464039740604,10.070763009649,-3.47791531197265,0.00208808337178147,0.0222440551993995,-1.51001026649598
"RTN1",-1.22502683826244,7.1804155024219,-3.47682261095566,0.00209359779433786,0.0222711362041128,-1.51248192281234
"GASK1B",-1.0035048740604,7.77278941131481,-3.45185732763648,0.00222353861910788,0.0231122264476695,-1.56889478044572
"MT1M",-2.62051255833508,9.08964604141856,-3.45144698565739,0.00222573891280386,0.0231122264476695,-1.56982107457631
"OLR1",-1.766676445112,8.90486917863274,-3.44920258649714,0.00223781129545896,0.0231627537283294,-1.57488697476783
"CCL23",-1.19580121801446,6.8594444862905,-3.44195925900606,0.00227721042304696,0.0234091741479167,-1.59122983268743
"CSRNP1",-1.29148715164076,9.34895297277299,-3.42828591979236,0.00235343995935467,0.0239283932678153,-1.62205414606274
"ACSL1",-1.3090063176104,10.0352742812553,-3.42672140782958,0.00236231947281341,0.023960571266339,-1.62557886710031
"NDRG4",-1.36002414879244,6.78954792089053,-3.42338364601251,0.00238137267860446,0.0240333109531546,-1.63309704677841
"C1QA",-1.17737001468575,11.4799965823336,-3.42137688799459,0.00239290013997279,0.0240761924727295,-1.63761618466154
"DHRS9",-1.12558110612416,7.63066972492728,-3.41670605898144,0.00241994222257491,0.0242432488837203,-1.64813176227234
"VEGFD",-2.28466954497956,8.43491883553325,-3.41400669253027,0.00243570615071565,0.024353491835221,-1.65420704449926
"GIPC2",-1.0952642831141,5.54749298389289,-3.41195675156023,0.00244774443243201,0.0244313340138333,-1.65881978388748
"PLPP3",-1.50637466549509,10.0733493342153,-3.4113828199769,0.00245112523746559,0.0244479435844095,-1.66011109083364
"KDR",-1.23462156115269,8.7274019279608,-3.40289369211375,0.00250166667158908,0.024735078148509,-1.67920369552593
"ADH1B",-1.90832916427064,9.33404317827236,-3.40169955644027,0.00250885723405913,0.0247702754507903,-1.68188827512575
"TMEM47",-1.13585038974744,8.93676299146034,-3.39787530708531,0.00253202112531607,0.0249148444095404,-1.69048385681075
